LOCALITE,Code Postal,NOM,POPULATION,SUPERFICIE,LOCTYPE,PROVINCE
HOTTON,6990,Commune de Hotton,5706,5731,Commune/Village,Luxembourg
HOUFFALIZE ,6660,Ville de Houffalize,5307,16657,Ville/Village,Luxembourg
HOUYET ,5560,Commune de Houyet,5183,12231,Commune/Village,Namur
HUY,4500,Ville de Huy,21706,4774,Ville/Village,Liège
INCOURT,1315,Commune d'Incourt,5662,3879,Commune/Village,Brabant wallon
ITTRE,1460,Commune d'Ittre,7013,3492,Commune/Village,Brabant wallon
JALHAY ,4845,Commune de Jalhay,8777,10789,Commune/Village,Liège
JEMEPPE-SUR-SAMBRE,5190,Commune de Jemeppe-sur-Sambre,19225,4679,Commune,Namur
JODOIGNE,1370,Ville de Jodoigne,14899,7331,Ville/Village,Brabant wallon
JUPRELLE,4450,Commune de Juprelle,9733,3535,Commune/Village,Liège
JURBISE,7050,Commune de Jurbise,10868,5785,Commune/Village,Hainaut
KELMIS,4720,Commune de Kelmis,11352,1812,Commune/Village,Liège
RHISNES,5080,Commune de La Bruyère,9351,5824,Commune,Namur
LA HULPE,1310,Commune de La Hulpe,7530,1559,Commune/Village,Brabant wallon
LA LOUVIERE,7100,Ville de La Louvière,81241,6416,Ville/Village,Hainaut
LA ROCHE-EN-ARDENNE,6980,Ville de La Roche-en-Ardenne,4100,14752,Ville/Village,Luxembourg
LASNE,1380,Commune de Lasne,14198,4721,Commune,Brabant wallon
LE ROEULX,7070,Ville du Roeulx,8708,4279,Ville/Village,Hainaut
LEGLISE ,6860,Commune de Léglise,5839,17292,Commune/Village,Luxembourg
LENS,7870,Commune de Lens,4636,4942,Commune/Village,Hainaut
FRASNES-LEZ-GOSSELIES ,6210,Commune de Les Bons Villers,9586,4255,Commune,Hainaut
LESSINES,7860,Ville de Lessines,18735,7228,Ville/Village,Hainaut
LEUZE-EN-HAINAUT,7900,Ville de Leuze-en-Hainaut,14201,7353,Ville,Hainaut
LIBIN,6890,Commune de Libin,5351,13972,Commune/Village,Luxembourg
LIBRAMONT-CHEVIGNY,6800,Commune de Libramont-Chevigny,11972,17786,Commune,Luxembourg
LIEGE,4000,Ville de Liège,195778,6939,Ville,Liège
LIERNEUX,4990,Commune de Lierneux,3644,9207,Commune/Village,Liège
LIMBOURG,4830,Ville de Limbourg,5654,2462,Ville/Village,Liège
LINCENT,4287,Commune de Lincent,3375,1474,Commune/Village,Liège
LOBBES,6540,Commune de Lobbes,5949,3208,Commune/Village,Hainaut
LONTZEN,4710,Commune de Lontzen,6058,2873,Commune/Village,Liège
MALMEDY,4960,Ville de Malmedy,12950,9996,Ville/Village,Liège
MANAGE,7170,Commune de Manage,24108,1940,Commune/Village,Hainaut
MANHAY,6960,Commune de Manhay,3715,11980,Commune,Luxembourg
MARCHE-EN-FAMENNE,6900,Ville de Marche-en-Famenne,17972,12140,Ville/Village,Luxembourg
MARCHIN,4570,Commune de Marchin,5612,3000,Commune/Village,Liège
MARTELANGE,6630,Commune de Martelange,2064,2967,Commune/Village,Luxembourg
MEIX-DEVANT-VIRTON,6769,Commune de Meix-devant-Virton,2819,5419,Commune/Village,Luxembourg
MERBES-LE-CHÂTEAU,6567,Commune de Merbes-le-Château,4171,3024,Commune/Village,Hainaut
MESSANCY,6780,Commune de Messancy,8549,5243,Commune/Village,Luxembourg
METTET,5640,Commune de Mettet,13529,11678,Commune/Village,Namur
MODAVE,4577,Commune de Modave,4207,4037,Commune/Village,Liège
MOMIGNIES,6590,Commune de Momignies,5234,8557,Commune/Village,Hainaut
MONS,7000,Ville de Mons,96358,14699,Ville/Village,Hainaut
AMOUGIES,7750,Commune de Mont-de-l'Enclus,3879,2689,Commune,Hainaut
MONTIGNY-LE-TILLEUL,6110,Commune de Montigny-le-Tilleul,10141,1509,Commune/Village,Hainaut
MONT-SAINT-GUIBERT,1435,Commune de Mont-Saint-Guibert,8407,1863,Commune/Village,Brabant wallon
MORLANWELZ ,7140,Commune de Morlanwelz,19172,2022,Commune,Hainaut
MOUSCRON,7700,Ville de Mouscron,59987,4007,Ville/Village,Hainaut
MUSSON,6750,Commune de Musson,4668,3481,Commune/Village,Luxembourg
NAMUR,5000,Ville de Namur,114142,17569,Ville/Village,Namur
NANDRIN,4550,Commune de Nandrin,5745,3589,Commune/Village,Liège
NASSOGNE ,6950,Commune de Nassogne,5735,11196,Commune/Village,Luxembourg
NEUFCHATEAU ,6840,Ville de Neufchâteau,8260,11379,Ville/Village,Luxembourg
ROTHEUX-RIMIERE,4120,Commune de Neupré,10010,3169,Commune,Liège
NIVELLES,1400,Ville de Nivelles,29070,6060,Ville/Village,Brabant wallon
OHEY,5350,Commune d'Ohey,5226,5662,Commune/Village,Namur
OLNE,4877,Commune d'Olne,4142,1598,Commune/Village,Liège
ONHAYE,5520,Commune d'Onhaye,3231,6553,Commune/Village,Namur
OREYE,4360,Commune d'Oreye,4028,1963,Commune/Village,Liège
ORP-JAUCHE,1350,Commune d'Orp-Jauche,9094,5049,Commune,Brabant wallon
OTTIGNIES-LOUVAIN-LA-NEUVE,1340,Ville d'Ottignies-Louvain-la-Neuve,31648,3397,Ville,Brabant wallon
OUFFET,4590,Commune d'Ouffet,2788,4021,Commune/Village,Liège
Oupeye (Haccourt),4684,Commune d'Oupeye,25743,3611,Commune,Liège
PALISEUL,6850,Commune de Paliseul,5530,11295,Commune/Village,Luxembourg
PECQ,7740,Commune de Pecq,5966,3290,Commune/Village,Hainaut
PEPINSTER,4860,Commune de Pepinster,9274,2479,Commune/Village,Liège
PERUWELZ,7600,Ville de Péruwelz,17318,6055,Ville/Village,Hainaut
PERWEZ,1360,Commune de Perwez,9704,5081,Commune/Village,Brabant wallon
PHILIPPEVILLE,5600,Ville de Philippeville,9521,15671,Ville/Village,Namur
PLOMBIERES,4850,Commune de Plombières,10771,5316,Commune,Liège
PONT-A-CELLES,6230,Commune de Pont-à-Celles,17650,5573,Commune/Village,Hainaut
PROFONDEVILLE ,5170,Commune de Profondeville,12318,5034,Commune/Village,Namur
QUAREGNON,7390,Commune de Quaregnon,18959,1097,Commune/Village,Hainaut
GIVRY ,7041,Commune de Quévy,8168,6515,Commune,Hainaut
QUIEVRAIN,7380,Commune de Quiévrain,6865,2122,Commune/Village,Hainaut
RAEREN,4730,Commune de Raeren,11136,7421,Commune/Village,Liège
GEROMPONT,1367,Commune de Ramillies,6700,4868,Commune,Brabant wallon
REBECQ,1430,Commune de Rebecq,11133,3907,Commune,Brabant wallon
REMICOURT,4350,Commune de Remicourt,6009,2258,Commune/Village,Liège
RENDEUX,6987,Commune de Rendeux,2707,6883,Commune/Village,Luxembourg
RIXENSART,1330,Commune de Rixensart,23096,1754,Commune/Village,Brabant wallon
ROCHEFORT ,5580,Ville de Rochefort,12716,16527,Ville/Village,Namur
DAMPICOURT,6767,Commune de Rouvroy,2144,3048,Commune,Luxembourg
RUMES,7618,Commune de Rumes,5351,2371,Commune,Hainaut
SAINTE-ODE,6680,Commune de Sainte-Ode,2720,9786,Commune,Luxembourg
SAINT-GEORGES-SUR-MEUSE,4470,Commune de Saint-Georges-sur-Meuse,7230,2089,Commune/Village,Liège
TERTRE,7330,Ville de Saint-Ghislain,23743,7017,Ville,Hainaut
SAINT-HUBERT ,6870,Ville de Saint-Hubert,5693,11115,Ville/Village,Luxembourg
SAINT-LEGER,6747,Commune de Saint-Léger,3716,3586,Commune/Village,Luxembourg
SAINT-NICOLAS,4420,Commune de Saint-Nicolas,24491,684,Commune/Village,Liège
SAMBREVILLE,5060,Commune de Sambreville,28615,3419,Commune,Namur
SANKT VITH,4780,Ville de Sankt Vith (Saint-Vith),10071,14692,Ville/Village,Liège
SENEFFE,7180,Commune de Seneffe,11624,6276,Commune/Village,Hainaut
SERAING,4100,Ville de Seraing,64266,3533,Ville/Village,Liège
SILLY,7830,Commune de Silly,8475,6768,Commune/Village,Hainaut
SIVRY-RANCE,6470,Commune de Sivry-Rance,4871,7296,Commune,Hainaut
SOIGNIES,7060,Ville de Soignies,29032,11030,Ville/Village,Hainaut
SOMBREFFE,5140,Commune de Sombreffe,8388,3577,Commune/Village,Namur
BAILLONVILLE,5377,Commune de Somme-Leuze,6099,9509,Commune/Village,Namur
SOUMAGNE,4630,Commune de Soumagne,17351,2713,Commune/Village,Liège
SPA,4900,Ville de Spa,9812,3984,Commune/Village,Liège
SPRIMONT,4140,Commune de Sprimont,15141,7650,Commune/Village,Liège
STAVELOT,4970,Ville de Stavelot,7271,8507,Ville/Village,Liège
STOUMONT,4987,Commune de Stoumont,3150,10844,Commune/Village,Liège
TELLIN,6927,Commune de Tellin,2539,5663,Commune/Village,Luxembourg
TENNEVILLE,6970,Commune de Tenneville,2881,9180,Commune/Village,Luxembourg
THEUX,4910,Commune de Theux,12052,8336,Commune/Village,Liège
THIMISTER-CLERMONT,4890,Commune de Thimister-Clermont,5587,2869,Commune,Liège
THUIN,6530,Ville de Thuin,14871,7617,Ville/Village,Hainaut
TINLOT,4557,Commune de Tinlot,2777,3771,Commune,Liège
TINTIGNY,6730,Commune de Tintigny,4605,8179,Commune,Luxembourg
TOURNAI,7500,Ville de Tournai,68554,21375,Ville/Village,Hainaut
TROIS-PONTS,4980,Commune de Trois-Ponts,2547,6889,Commune,Liège
TROOZ,4870,Commune de Trooz,8058,2419,Commune,Liège
TUBIZE ,1480,Ville de Tubize,28381,3266,Commune/Village,Brabant wallon
VAUX-SUR-SÛRE ,6640,Commune de Vaux-sur-Sûre,6269,13586,Commune/Village,Luxembourg
VERLAINE,4537,Commune de Verlaine,4361,2421,Commune/Village,Liège
VERVIERS,4800,Ville de Verviers,55770,3307,Ville/Village,Liège
VIELSALM,6690,Commune de Vielsalm,7940,13976,Commune/Village,Luxembourg
VILLERS-LA-VILLE,1495,Commune de Villers-la-Ville,11114,4745,Commune/Village,Brabant wallon
VILLERS-LE-BOUILLET,4530,Commune de Villers-le-Bouillet,6836,3270,Commune/Village,Liège
NISMES,5670,Commune de Viroinval,5649,12089,Commune,Namur
VIRTON,6760,Ville de Virton,11368,9449,Ville/Village,Luxembourg
VISE,4600,Ville de Visé,18154,2799,Ville/Village,Liège
VRESSE-SUR-SEMOIS,5550,Commune de Vresse-sur-Semois,2470,10103,Commune,Namur
WAIMES,4950,Commune de Waimes,7563,9719,Commune/Village,Liège
WALCOURT,5650,Ville de Walcourt,18465,12318,Ville/Village,Namur
WALHAIN,1457,Commune de Walhain,7607,3793,Commune,Brabant wallon
WANZE ,4520,Commune de Wanze,14010,4395,Commune/Village,Liège
WAREMME ,4300,Ville de Waremme,15489,3104,Ville/Village,Liège
WASSEIGES,4219,Commune de Wasseiges,3138,2444,Commune/Village,Liège
WATERLOO,1410,Commune de Waterloo,30596,2102,Commune/Village,Brabant wallon
WAVRE,1300,Ville de Wavre,35558,4180,Ville/Village,Brabant wallon
WELKENRAEDT,4840,Commune de Welkenraedt,10464,2446,Commune/Village,Liège
WELLIN,6920,Commune de Wellin,3147,6751,Commune/Village,Luxembourg
YVOIR,5530,Commune d'Yvoir,9136,5683,Commune/Village,Namur
